Search Term,Title,Abstract
kidney disease,Intra-body dynamics of D-serine reflects the origin of kidney diseases.,"Introduction:
        
      
      D-Serine, present only in trace amounts in humans, is now recognized as a biomarker of chronic kidney disease (CKD). CKD is heterogeneous in its original kidney diseases, whose diagnoses require kidney biopsy. In this study, we examined whether the intra-body dynamics of D-serine, indexed by its blood and urinary levels, reflects the origin of kidney diseases.
    


          Methods:
        
      
      Patients with six kinds of kidney disease undergoing kidney biopsy were enrolled in a single center. Levels of D- and L-serine were measured using two-dimensional high-performance liquid chromatography. The associations between the origin of kidney diseases and the intra-body dynamics of D-serine were examined using multivariate cluster analyses.
    


          Results:
        
      
      Unlike the non-CKD profile, patients with CKD showed broadly-distributed profiles of intra-body dynamics of D-serine. The plasma level of D-serine plays a key role in the detection of kidney diseases, whereas a combination of plasma and urinary levels of D-serine distinguished the origin of CKD, especially lupus nephritis.
    


          Conclusion:
        
      
      Intra-body dynamics of D-serine have the potential to predict the origin of kidney diseases. Monitoring of D-serine may guide specific treatments for the origin of kidney diseases."
kidney disease,[Insulin resistance and inflammation in chronic kidney diseases].,"Insulin resistance (IR) and inflammation are now identified as common features in chronic kidney disease (CKD) patients. These metabolic abnormalities are both predictors of adverse cardiovascular (CV) outcome and are associated with worst nutritional status. Unequivocal experimental, epidemiological and clinical evidence produced during the past decade causally links inflammation to the development of metabolic syndrome or the complications that emerge from these pathologies particularly in the context of obesity or type II diabetes patients. These observations lead to the hypothesis of ""meta-inflammation"" : metabolically triggered inflammation, with a key role played by adipose tissue. In CKD patients, many other factors related with uremia can be causative but the abnormal cytokine and adipokine concentrations and the cluster of metabolic abnormalities push us to think like other metabolic diseases, that adipose tissue dysfunction may be among the pathways that induce inflammation and IR. Therapeutic approaches of traditional CV risk factors have been inconclusive or failed to improve the outcome of these patients. Further studies assessing the impact of renal failure on adipose tissue function and the pathways that are altered in this disease may allow to have therapeutic approaches targetting adipose tissue dysfunction or inflammation."
kidney disease,[Clinical practice guidelines for polycystic kidney diseases].,"Polycystic kidney disease (PKD) is a group of hereditary kidney diseases caused by genetic mutations. Autosomal dominant polycystic kidney disease (ADPKD) and autosomal recessive polycystic kidney disease (ARPKD) are the two main forms of PKD. The pathological features of PKD include progressive enlargement of renal cysts and destruction of kidney structure, which may eventually lead to end-stage renal disease (ESRD). As a result, the lives of PKD patients can only be sustained by dialysis or kidney transplantation. On the basis of basic research, clinical studies and guidelines issued for PKD at home and abroad, and by combining with the reality of Chinese PKD patients, this guideline has summarized the key points for the genetic counseling and clinical treatment of PKD, with an aim to improve the understanding and standardized diagnosis and treatment for such disorders."
kidney disease,Unusual presentation of glomerulocystic kidney disease in an adult patient.,A 38-year-old Latin-American man developed uremic syndrome without any evidence of previous kidney diseases or any other health problems. Ultrasound and CT scan confirmed normal size of the kidneys without evidence of urinary tract obstruction or renal parenchymal cysts. Kidney biopsy showed cystic dilatation of Bowman's space (glomerulocystic kidney disease). The patient was started on hemodialysis. Severe renal dysfunction and uremic symptoms are a rare initial manifestation of glomerulocystic kidney disease. This pathology should be considered in the differential diagnosis of patients with normal size kidney and chronic renal failure.
kidney disease,Mast Cell Chymase and Kidney Disease.,"A sizable part (~2%) of the human genome encodes for proteases. They are involved in many physiological processes, such as development, reproduction and inflammation, but also play a role in pathology. Mast cells (MC) contain a variety of MC specific proteases, the expression of which may differ between various MC subtypes. Amongst these proteases, chymase represents up to 25% of the total proteins in the MC and is released from cytoplasmic granules upon activation. Once secreted, it cleaves the targets in the local tissue environment, but may also act in lymph nodes infiltrated by MC, or systemically, when reaching the circulation during an inflammatory response. MC have been recognized as important components in the development of kidney disease. Based on this observation, MC chymase has gained interest following the discovery that it contributes to the angiotensin-converting enzyme's independent generation of angiotensin II, an important inflammatory mediator in the development of kidney disease. Hence, progress regarding its role has been made based on studies using inhibitors but also on mice deficient in MC protease 4 (mMCP-4), the functional murine counterpart of human chymase. In this review, we discuss the role and actions of chymase in kidney disease. While initially believed to contribute to pathogenesis, the accumulated data favor a more subtle view, indicating that chymase may also have beneficial actions."
kidney disease,"The patient, the drug and the kidney.","Recent policy changes have focused attention on the prevalence of chronic kidney disease (CKD) in the UK. In particular, automatic reporting of estimated glomerular filtration rate (e-GFR) is a requirement of the National Service Framework (NSF) for Renal Services in England. Also, the Quality and Outcomes Framework (QOF) of the UK General Medical Services (GMS) Contract (revised in April 2006) requires GPs to keep a renal register of patients with CKD with e-GFRs below 60 mL/min/1.73 m2. Prescribers managing such patients are faced with difficult decisions about starting or continuing treatment with drugs that are handled by, or potentially toxic to, the kidney. Here we review methods of identifying and classifying CKD in adults and the implications of CKD for patients' health. We also offer advice on prescribing for these patients while minimising the risks of drug-related renal toxicity. We do not aim to give detailed guidance on every drug, but rather to highlight general principles of drug therapy and key sources of information and advice."
kidney disease,Acquired cystic disease and renal cell carcinoma in hemodialysis patients--A case report on three patients.,"Introduction:
        
      
      Renal cell carcinoma (RCC) is derived from renal tubular epithelial cells and represents approximately 3.8% of all malignancies in adults. The incidence of renal cell carcinoma has been growing steadily and ranging from 0.6 to 14.7 for every 100,000 inhabitants. Patients with end-stage renal disease and acquired cystic kidney disease are at increased risk of developing RCC while undergoing dialysis treatment or after renal transplantation.
    


          Case report:
        
      
      We presented 3 patients undergoing hemodialysis, with acquired cystic kidney disease accompanied by the development of RCC. In all the patients tumor was asymptomatic and discovered through ultrasound screening in 2 patients and in 1 of the patients by post-surgery pathohistological analysis of the tissue of the kidney excised using nephrectomy. All the three patients had organ-limited disease at the time of the diagnosis and they did not require additional therapy after surgical treatment. During the follow-up after nephrectomy from 6 months to 7 years, local recurrence or metastasis of RCC were not diagnosed.
    


          Conclusion:
        
      
      Acquired cystic kidney disease represents a predisposing factor for the development of renal cell carcinoma in dialysis patients and requires regular ultrasound examinations of the abdomen aimed at early diagnosis of malignancies. Prognosis for patients with end-stage renal disease and RCC is mostly good because these tumors are usually of indolent course."
kidney disease,Proteomics in chronic kidney disease: The issues clinical nephrologists need an answer for.,"A growing number of patients are recognised to have chronic kidney disease (CKD). However, only a minority will progress to end-stage renal disease requiring dialysis or transplantation. Currently available diagnostic and staging tools frequently fail to identify those at higher risk of progression or death. Furthermore within specific disease entities there are shortcomings in the prediction of the need for therapeutic interventions or the response to different forms of therapy. Kidney and urine proteomic biomarkers are considered as promising diagnostic tools to predict CKD progression early in diabetic nephropathy, facilitating timely and selective intervention that may reduce the related health-care expenditures. However, independent groups have not validated these findings and the technique is not currently available for routine clinical care. Furthermore, there are gaps in our understanding of predictors of progression or need for therapy in non-diabetic CKD. Presumably, a combination of tissue and urine biomarkers will be more informative than individual markers. This review identifies clinical questions in need of an answer, summarises current information on proteomic biomarkers and CKD, and describes the European Kidney and Urine Proteomics initiative that has been launched to carry out a clinical study aimed at identifying urinary proteomic biomarkers distinguishing between fast and slow progressors among patients with biopsy-proven primary glomerulopathies."
kidney disease,"Nephrology: As It Was Then, But Is Not Now.","Diseases of the kidney are old, but the discipline dedicated to their study, nephrology, is barely more than 50 years old. As recounted in this recollection of those events, the rudiments of what would become nephrology emerged in the time between the 2 World Wars from basic studies of normal kidney function and flourished after the integration of their methodologies into clinical medicine thereafter. Although shaped by studies of kidney function in the 1960s, it was the subsequent advent of dialysis that fueled the growth of nephrology well into the 21st century. Although to some extent this growth was a product of technical developments (micropuncture, dialysis, biopsy, etc), it was the paradigm shifts they engendered that brought about the revolutionary changes that stimulated the growth of nephrology from its formative years in the 1960s. Notable among those was the classification of chronic kidney disease on the basis of kidney function, calculated from serum creatinine level as estimated glomerular filtration rate, that has expanded nephrology's interaction with and integration into other disciplines and begat the recent outpouring of epidemiologic and interventional studies, thereby establishing it as a leading discipline dedicated to improving outcomes for individuals with kidney disease worldwide."
kidney disease,Extracellular vesicles as a novel diagnostic and research tool for patients with HTN and kidney disease.,"Hypertension (HTN) affects one in three adults in the United States and is a major risk factor for cardiovascular disease and kidney failure. There is emerging evidence that more intense blood pressure lowering reduces mortality in patients with kidney disease who are at risk of cardiovascular disease and progression to end-stage renal disease. However, the ideal blood pressure threshold for patients with kidney disease remains a question of debate. Novel tools to more precisely diagnose HTN, tailor treatment, and predict the risk of end-organ damage such as kidney disease are needed. Analysis of circulating and urinary extracellular vesicles (EVs) and their cargo (protein and RNA) has the potential to identify novel noninvasive biomarkers that can also reflect a specific pathological mechanism of different HTN phenotypes. We will discuss the use of extracellular vesicles as markers of HTN severity and explain their profile change with antihypertensive medicine and potential to detect early end-organ damage. However, more studies with enhanced rigor in this field are needed to define the blood pressure threshold to prevent or delay kidney disease progression and decrease cardiovascular risk."
kidney disease,Mitochondria Damage and Kidney Disease.,"The kidney is a vital organ that demands an extraordinary amount of energy to actively maintain the body's metabolism, plasma hemodynamics, electrolytes and water homeostasis, nutrients reabsorption, and hormone secretion. Kidney is only second to the heart in mitochondrial count and oxygen consumption. As such, the health and status of the energy power house, the mitochondria, is pivotal to the health and proper function of the kidney. Mitochondria are heterogeneous and highly dynamic organelles and their functions are subject to complex regulations through modulation of its biogenesis, bioenergetics, dynamics and clearance within cell. Kidney diseases, either acute kidney injury (AKI) or chronic kidney disease (CKD), are important clinical issues and global public health concerns with high mortality rate and socioeconomic burden due to lack of effective therapeutic strategies to cure or retard the progression of the diseases. Mitochondria-targeted therapeutics has become a major focus for modern research with the belief that maintaining mitochondria homeostasis can prevent kidney pathogenesis and disease progression. A better understanding of the cellular and molecular events that govern mitochondria functions in health and disease will potentially lead to improved therapeutics development."
kidney disease,"Non-Diabetic Kidney Disease in Type 2 Diabetic Patients: Prevalence, Clinical Predictors and Outcomes.","Background/aims:
        
      
      Diabetic kidney disease (DKD) is one of the most frequent microvascular complications of diabetes and is the leading cause of end-stage kidney disease worldwide. In patients with diabetes, non-diabetic kidney disease (NDKD) can also occur. NDKD can be either alone or superimposed with the DKD. In this study, we aimed to investigate the utility of kidney biopsy in patients with type 2 diabetes mellitus (T2DM) and the predictability of diagnosing DKD versus NDKD from clinical and laboratory data. We also evaluated the prevalence and etiology of NDKD in patients with T2DM.
    


          Methods:
        
      
      We retrospectively reviewed type 2 diabetic patients who had kidney biopsy in the last 10 years for diagnosing possible NDKD in our center. In all patients kidney biopsies were performed because of atypical clinical features and biopsy samples were examined by light and immunofluorescence microscopy. Clinical parameters, laboratory workup and office blood pressures were recorded for each patient at the time of biopsy.
    


          Results:
        
      
      Eight patients were excluded due to missing data. A total of 48 patients (female/male: 26/22 and mean age: 59±8 years) were included in the study. According to the biopsy findings, 24 (50%) patients had NDKD alone, 20 (41.7%) had DKD alone and 4 (8.3%) had coexisting DKD and NDKD. The most common NDKD diagnoses were membranous nephropathy (29.2%), tubulointerstitial nephritis (20.8%) and IgA nephropathy (12.5%). There were no significant differences in three groups with respect to the duration of diabetes, proteinuria, hematuria and glycated hemoglobin A1c levels. Diabetic retinopathy (DR) was the most significant finding, which was associated with DKD. Positive and negative predictive values of DR for DKD were 88 and 81%, respectively.
    


          Conclusion:
        
      
      This study demonstrated a high prevalence of NDKD in patients with T2DM. The absence of DR strongly predicted NDKD. Clinical decision alone can lead to wrong diagnosis and delay in appropriate therapy. Clinicians should consider the kidney biopsy more liberally when there is uncertainty on the exact etiology of the kidney disease. However, prospective multicenter studies are needed to clarify the prognosis and outcomes of patients with diabetics."
kidney disease,Chronic kidney disease and cardiovascular disease: pathophysiologic links.,"This is the second in a series of three articles about the risk factors and complications related to chronic kidney disease and their impact on cardiovascular disease. This article focuses on identifying pathophysiologic mechanisms by which two traditional risk factors of cardiovascular disease (hypertension and dyslipidemia), and two nontraditional risk factors associated with chronic kidney disease (anemia and abnormalities in bone and mineral metabolism) contribute to the markedly increased cardiovascular morbidity and mortality seen in individuals with chronic kidney disease."
kidney disease,[Renal erythropoietin-producing cells and kidney disease].,"Erythropoietin(EPO) is an indispensable erythropoietic hormone, produced mainly from kidneys in adult, and the production declines with progression of chronic kidney disease(CKD). Renal EPO-producing cells(REPs) are peri-tubular interstitial fibroblasts. Dysfunction and myofibroblast transformation of REPs have been reported in rodent models of kidney injuries. Despite the crucial importance of EPO in health and diseases, many aspects of REPs remain to be elucidated because of technical difficulties to investi- gate the cells in vivo. This review will summarize our recent progress in characterization of REPs. We also summarize the role REPs play in kidney fibrosis and their unique character ""plasticity"". Future therapeutic approach targeting REPs to treat both anemia and fibrosis in CKD will also be discussed."
kidney disease,Kidney in old age.,"Epidemiological studies have shown that chronic kidney disease (CKD) is a major health problem especially in an older population. Given the growing segment of the elderly population and the important implication of renal disease on health care, this review discusses the structural and functional changes of the ageing kidney and the underlying mechanisms of age-dependent injury. The implications of these changes in daily clinical practice and the management of CKD is also briefly overviewed."
kidney disease,"Burden, Access, and Disparities in Kidney Disease.","Kidney disease is a global public health problem, affecting over 750 million persons worldwide. The burden of kidney disease varies substantially across the world. In many settings, rates of kidney disease and the provision of its care are defined by socioeconomic, cultural, and political factors leading to significant disparities. World Kidney Day 2019 offers an opportunity to raise awareness of kidney disease and highlight disparities in its burden and current state of global capacity for prevention and management. Here, we highlight the need for strengthening basic infrastructure for kidney care services for early detection and management of acute kidney injury and chronic kidney disease across all countries and advocate for more pragmatic approaches to providing renal replacement therapies. Achieving universal health coverage worldwide by 2030 is a World Health Organization Sustainable Development Goal. While universal health coverage may not include all elements of kidney care in all countries, understanding what is locally feasible and important with a focus on reducing the burden and consequences of kidney disease would be an important step towards achieving kidney health equity."
kidney disease,Is there a role for intensive insulin therapy in patients with kidney disease?,"There is increasing evidence for the benefit of intensive insulin therapy in maintaining near-normoglycemia in patients without diabetes with severe acute illness. Morbidity and mortality have both improved, with decreased episodes of sepsis, acute kidney injury, transfusion requirements, and post-intensive care complications. The metabolic mayhem of severe acute illness has many parallels with those induced by kidney failure itself, and patients with kidney failure are at increased risk from many of the complications potentially improved by insulin therapy. We reviewed the potential benefits of intensive insulin therapy and examined the published trials for data directly applicable to patients with kidney failure. There are no trials directly answering the question and no specific analysis of patients with kidney disease in published studies. We extracted pertinent data regarding patients with impaired renal function from the reported trials, identified parallels between patients with kidney injury and other severe illnesses, and suggest possible future studies. We hypothesize that intensive insulin therapy has a role outside the intensive care setting and, in particular, a role for patients with severe acute illness and kidney failure, whether acute or chronic."
kidney disease,Acquired cystic kidney disease.,"Acquired cystic kidney disease (ACKD), also known as acquired renal cystic disease (ARCD,) occurs in patients who are on dialysis for end-stage renal disease. It is generally accepted that ACKD develops as a consequence of sustained uremia and can first manifest even before dialysis is initiated while the patient is still in chronic renal failure. The role of immune suppression, particularly in transplant recipients, in the development of ACKD, is still under investigation. The prevalence of ACKD is directly related to the duration of dialysis and the risk of cancer is directly related to the presence of cysts. Herein we review the current understanding of the pathophysiology and imaging implications of ACKD."
kidney disease,Understanding renal replacement therapy and dosing of drugs in pediatric patients with kidney disease.,"Multifaceted factors need to be considered when prescribing renal replacement therapy (RRT) and dosing of drugs in pediatric patients with kidney disease. RRTs in pediatrics such as intermittent hemodialysis, continuous venovenous hemofiltration, continuous venovenous hemodialysis, and continuous venovenous hemodiafiltration affect solute and drug clearance. Drug properties such as molecular weight, molecular charge, volume of distribution, and protein binding affect drug clearance. RRT prescription parameters such as blood flow rate, ultrafiltration rate, membrane size, and pore size can also influence drug clearance. Furthermore, the pediatric patient presents additional concerns because of developmental factors in children that affect both pharmacokinetics of drugs."
kidney disease,"An association of tubular dysfunction, cortical macrocysts and chronic kidney disease.","We present an unusual combination of kidney disorders in a boy born to consanguineous parents. He presented in the first year of life with dehydration and urosepsis and was subsequently found to have hyposthenuria and distal renal tubular acidosis, with normal appearance of the kidneys, by ultrasound examination. By 4 years of age he had developed multiple large cysts in both kidneys, and his nephropathy eventually progressed so that at 17 years of age he is approaching end-stage renal disease (ESRD). The association of initial tubular dysfunction followed by the development of multiple cysts may represent a new form of kidney disease."
kidney disease,Diagnosing kidney disease in the genetic era.,"Purpose of review:
        
      
      Recent technological improvements have increased the use of genetic testing in the clinic. This review serves to summarize the many practical benefits of genetic testing, discusses various methodologies that can be used clinically, and exemplifies ways in which genetics is propelling the field forward in nephrology.
    


          Recent findings:
        
      
      The advent of next-generation sequencing and microarray technologies has heralded an unprecedented number of discoveries in the field of nephrology, providing many opportunities for incorporating genomic diagnostics into clinical care. The use of genetic testing, particularly in pediatrics, can provide accurate diagnoses in puzzling cases, resolve misclassification of disease, and identify subsets of individuals with treatable conditions.
    


          Summary:
        
      
      Genetic testing may have broad benefits for patients and their families. Knowing the precise molecular etiology of disease can help clinicians determine the exact therapeutic course, and counsel patients and their families about prognosis. Genetic discoveries can also improve the classification of kidney disease and identify new targets for therapy."
kidney disease,Perspectives on eGFR reporting from the interface between primary and secondary care.,"The introduction of estimated GFR (eGFR) reporting based on the Modification of Diet in Renal Disease (MDRD) equation has caused much debate regarding its value in the wider community. In particular, automated reporting of eGFR by laboratories has led to concern that it is being used as a ""covert "" screening tool, in populations in which the MDRD equation has known inaccuracies. There is a fear of creating a population of ""worried well, "" with potential impact on patients and implications for the use of resources. It is established that in certain groups, chronic kidney disease confers a greatly increased risk of cardiovascular disease, yet risk factors remain inadequately managed. We believe that eGFR reporting allows the opportunity to stratify risk and improve outcome among a wide population."
kidney disease,The association between congestive heart failure and chronic renal disease.,"Purpose of review:
        
      
      Recent findings on the relationship between congestive heart failure and renal failure are summarized in this review.
    


          Recent findings:
        
      
      Congestive heart failure is found in about one-quarter of cases of chronic kidney disease. The most common cause of congestive heart failure is ischemic heart disease. The prevalence of congestive heart failure increases greatly as the patient's renal function deteriorates, and, at end-stage renal disease, can reach 65-70%. There is mounting evidence that chronic kidney disease itself is a major contributor to severe cardiac damage and, conversely, that congestive heart failure is a major cause of progressive chronic kidney disease. Uncontrolled congestive heart failure is often associated with a rapid fall in renal function and adequate control of congestive heart failure can prevent this. The opposite is also true: treatment of chronic kidney disease can prevent congestive heart failure. There is new evidence showing the cardioprotective effect of carvedilol in patients on dialysis, and of simvastatin and eplerenone in patients with congestive heart failure. Use of non-steroidal anti-inflammatory drugs doubles the rate of hospitalization in patients with congestive heart failure. Anemia has been found in one-third to half the cases of congestive heart failure, and may be caused not only by chronic kidney disease but by the congestive heart failure itself. The anemia is associated with worsening cardiac and renal status and often with signs of malnutrition. Control of the anemia and aggressive use of the recommended medication for congestive heart failure may improve the cardiac function, patient function and exercise capacity, stabilize the renal function, reduce hospitalization and improve quality of life. Congestive heart failure, chronic kidney disease and anemia therefore appear to act together in a vicious circle in which each condition causes or exacerbates the other. Both congestive heart failure and anemia are often undertreated. Cooperation between nephrologists and other physicians in the treatment of patients with anemic congestive heart failure may improve the quality of care and the subsequent prognosis for both congestive heart failure and chronic kidney disease.
    


          Summary:
        
      
      Adequate and early detection and aggressive treatment of congestive heart failure and chronic kidney disease and the associated anemia may markedly slow the progression of both diseases."
kidney disease,Treatment of systemic hypertension associated with kidney disease.,"Systemic hypertension is an increasingly diagnosed disorder in dogs and cats and frequently occurs secondary to chronic kidney disease. Prevention of damage to organs such as the kidneys, brain, heart, and eyes is one of the primary concerns in the management of veterinary patients with hypertension. This article reviews the guidelines for antihypertensive therapy in patients with, or at risk for, kidney disease, including the initiation of treatment and currently recommended medications."
kidney disease,What we do and do not know about women and kidney diseases; questions unanswered and answers unquestioned: Reflection on World Kidney Day and International Women's Day .,"Chronic kidney disease affects ~ 10% of the world's adult population: It is within the top 20 causes of death worldwide, and its impact on patients and their families can be devastating. World Kidney Day and International Women's Day in 2018 coincide, thus offering an opportunity to reflect on the importance of women's health, and specifically their kidney health, on the community and the next generations as well as to strive to be more curious about the unique aspects of kidney disease in women so that we may apply those insights more broadly. Girls and women, who make up ~ 50% of the world's population, are important contributors to society and their families. Gender differences continue to exist around the world in terms of access to education, medical care, and participation in clinical studies. Pregnancy is a unique state for women, offering an opportunity for diagnosis of kidney disease, but also a state where acute and chronic kidney diseases may manifest, and which may impact future generations with respect to kidney health. There are various autoimmune and other conditions that are more likely to impact women, with profound consequences for child bearing and on the fetus. Women have different complications on dialysis than men and are more likely to be donors than recipients of kidney transplants. In this editorial, we focus on what we do and do not know about women, kidney health, and kidney disease, and what we might learn in the future to improve outcomes worldwide. ."
kidney disease,Silent chronic kidney disease epidemic seen from Europe: designing strategies for clinical management of the early stages.,"Given the alarming predictions of the potentially devastating future epidemic of end-stage renal disease (ESRD), further knowledge is still urgently needed on this topic. The real dimensions of the problem are still unclear. It is difficult to compare Europe and the USA because different criteria are used in data collection and not much information is available, but the epidemic of silent chronic kidney disease seems to be more widespread in the States than in Europe, and more severe in terms of cardiovascular mortality. Defining early chronic renal insufficiency carrying a definite risk of ESRD is not easy, particularly for chronic renal conditions in which the clinical picture is still faint and the renal dysfunction minimal. It is also hard to say which tools are most suitable for diagnosing such renal disorders (renal filtration indexes vs. composite indexes of renal damage, e.g. the NKF's CKD stages). Furthermore, it is still not clear which strategies best identify subjects with these conditions (screening vs. early interception; general population vs. high-risk groups), how effective therapeutic approaches are, which subject categories benefit from early diagnosis and intervention, and how clinical measures should be structured (multidisciplinary case management-based approaches vs. general practitioner-oriented approaches). These issues are discussed in this paper."
kidney disease,[Nephrologists' role in a changing climate].,"Human-induced climate changes represent an increasing concern in recent years. Among the medical specialties, Nephrology is the most interested in the negative effects of climate changes on human health. Kidneys in fact play a crucial role in blood volume regulation as well as in the extra- and intracellular osmolality that allow normal metabolism. Furthermore, urinary concentration minimizes fluid losses, while also insuring the excretion of nitrogenous wastes. The harmful effects of heat can lead to both acute and chronic kidney diseases, electrolyte abnormalities, kidney stone formation and urinary tract infections. As global warming increases, major efforts are required worldwide to assure adequate hydration and prevent overheating in vulnerable populations. While our activities make us responsible agents, there are also several opportunities to change the game, both individually and as a scientific society. This call to action intends to raise awareness on environmentally sustainable practices and encourage the nephrology community in Italy to participate in this important discussion."
kidney disease,[Lifestyle interventions for the management of early stage of chronic kidney disease].,"A high sodium or protein intake aggravates kidney damage. Recent reports showed that obesity, low physical activity, or current smoking raises a risk for chronic kidney disease. Therefore, some lifestyle interventions, such as control of body weight, reduction of salt intake, and cessation of smoking, may prevent or delay the progression of chronic kidney disease."
kidney disease,Warfarin-related nephropathy: another newly recognized complication of an old drug.,"Since its approval in the 1950s, warfarin has been the most often prescribed anticoagulant, with attendant risks of bleeding. Brodsky et al. describe another potential complication of warfarin therapy. Warfarin-related nephropathy (WRN) has been described in patients with chronic kidney disease and appears to accelerate the rate of progression and increase the risk of death. The interactions between warfarin and chronic kidney disease are complex, and the recognition of the potential complications is expanding."
kidney disease,Disease management in chronic kidney disease.,"Chronic kidney disease (CKD) is a growing health problem of epidemic proportions both in the United States and worldwide. The care of CKD patients, before and after starting dialysis, remains highly fragmented resulting in suboptimal clinical outcomes and high costs, creating a high burden of disease on patients and the health care system. Disease management (DM) is an approach to coordinating care for this complex population of patients that has the promise of improving outcomes and constraining costs. For CKD patients not yet on dialysis, the major goals of a DM program are (1) early identification of CKD patients and therapy to slow the progression of CKD, (2) identification and management of the complications of CKD per se, (3) identification and management of the complications of comorbid conditions, and (4) smooth transition to renal replacement therapy. For those CKD patients on dialysis, focused attention on avoidable hospitalizations is a key to a successful DM program. Multidisciplinary collaboration among physicians (nephrologist, primary care physician, cardiologist, endocrinologist, vascular surgeons, and transplant physicians) and participating caregivers (nurse, pharmacist, social worker, and dietician) is critical as well. There are several potential barriers to the successful implementation of a CKD/end-stage renal disease DM program, including lack of awareness of the disease state among patients and health care providers, late identification and referrals to a nephrologist, complex fragmented care delivered by multiple providers in many different sites of care, and reimbursement that does not align incentives for all involved. Recent experience suggests that these barriers can be overcome, with DM becoming a promising approach for improving outcomes for this vulnerable population."
kidney disease,Importance of urinary mitochondrial DNA in diagnosis and prognosis of kidney diseases.,"Mitochondrial injury plays an important role in the occurrence and development of kidney diseases. However, the existing assays to determine mitochondrial function restrict our ability to understand the relationship between mitochondrial dysfunction and kidney damage. These limitations may be overcome by recent findings on urinary mitochondrial DNA (UmtDNA). Elevated UmtDNA level may serve as a surrogate biomarker of mitochondrial dysfunction, kidney damage, and progression and prognosis of kidney diseases. Herein, we review the recent research progress on UmtDNA in kidney diseases diagnosis and highlight the research areas that should be expanded in future as well as discuss the future perspectives."
kidney disease,The renal biopsy in the genomic era.,"Renal biopsy was introduced in the 1950s. By 1980 the pathologic diagnostic criteria for the majority of medical kidney diseases known today, including pediatric diseases, were established using light, electron microscopy and immunohistochemistry. However, it has become clear that there are limitations in the morphologic evaluation, mainly because a given pattern of injury can be caused by different aetiologies and, conversely, a single aetiology may present with more than one histological pattern. An explosion in kidney disease research in the last 20-30 years has brought new knowledge from bench to bedside rapidly and resulted in new molecular and genetic tools that enhance the diagnostic and prognostic power of the renal biopsy. Genomic technologies such as polymerase chain reaction (PCR), in situ hybridization and oligonucleotide microarrays, collectively known as genomics, detect single or multiple genes underscoring the pathologic changes and revealing specific causes of injury that may require different treatment. The aims of this review are to (1) summarize current recommendations for diagnostic renal biopsies encompassing light microscopy, immunofluorescence or immunohistochemistry and electron microscopy; (2) address the limitations of morphology; (3) show current contributions of genomic technologies adjunct to the renal biopsy, and provide examples of how these may transform pathologic interpretation into molecular disease phenotypes."
kidney disease,[Acquired cystic kidney disease and autosomal dominant polycystic kidney disease--precancerous condition?].,"Acquired cystic kidney disease (ACKD) is a frequent complication of end-stage renal disease. In about 50% of patients on chronic haemodialysis treatment, secondary cysts are detected by sonography/computed tomography or at autopsy. ACKD is associated with an increased risk for the development of renal neoplasias. Renal adenomas are found in 8.8% of the cases, renal cell carcinomas are observed in 2.9% of the patients. The prevalence of renal cell carcinoma is 5-10 times greater in ACKD than in the general population. Therefore, ACKD should be considered as a precancerous condition carrying an increased risk for the development of renal cell carcinoma. Consequently patients with ACKD need careful and regular clinical observation and monitoring by ultrasound or computed tomography. An increased risk for the development of renal cell carcinoma has also been discussed in autosomal dominant polycystic kidney disease (ADPKD) based on anecdotal observations. A careful analysis of the literature as well as a retrospective examination of 86 necropsies (1951-1985) and 25 nephrectomy specimens with ADPKD revealed only one patient with renal cell carcinoma. With respect to the incidence of renal cell carcinoma and the frequency of ADPKD (1:1000) in the general population, the present data do not permit the conclusion that ADPKD represents a precancerous condition."
kidney disease,Chronic kidney disease awareness among individuals with clinical markers of kidney dysfunction.,"Background and objectives:
        
      
      Awareness of chronic kidney disease (CKD) among providers and patients is low. Whether clinical cues prompt recognition of CKD is unknown. We examined whether markers of kidney disease that should trigger CKD recognition among providers are associated with higher individual CKD awareness.
    


          Design, setting, participants, & measurements:
        
      
      CKD awareness was assessed in 1852 adults with an estimated GFR <60 ml/min per 1.73 m(2) using 1999 to 2008 National Health and Nutrition Examination Survey data. CKD awareness was a ""yes"" answer to ""Have you ever been told you have weak or failing kidneys?"" Participants were grouped by distribution of the following abnormal markers of CKD: hyperkalemia, acidosis, hyperphosphatemia, elevated blood urea nitrogen, anemia, albuminuria, and uncontrolled hypertension. Odds of CKD awareness associated with each abnormal marker and groupings of markers were estimated by multivariable logistic regression.
    


          Results:
        
      
      Among individuals with kidney disease, only those with albuminuria had greater odds of CKD awareness (adjusted odds ratio, 4.0, P < 0.01) than those without. Odds of CKD awareness increased with each additional manifested clinical marker of CKD (adjusted odds ratio, 1.3, P = 0.05). Nonetheless, 90% of individuals with two to four markers of CKD and 84% of individuals with ≥5 markers of CKD were unaware of their disease.
    


          Conclusions:
        
      
      Although individuals who manifest many markers of kidney dysfunction are more likely to be aware of their CKD, their CKD awareness remains low. A better understanding of mechanisms of awareness is required to facilitate earlier detection of CKD and implement therapy to minimize associated complications."
